kernel,gpu__time_duration.sum,gpu__time_duration.avg,sm__throughput.avg.pct_of_peak_sustained_elapsed,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,dram__throughput.avg.pct_of_peak_sustained_elapsed,sm__warps_active.avg.pct_of_peak_sustained_active,launch__occupancy_limit_blocks,launch__occupancy_limit_registers,launch__occupancy_limit_shared_mem,launch__occupancy_limit_warps,launch__registers_per_thread,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,dram__bytes.sum,l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum
"portf_diag_kernel(float *, int, int)",56.48,56.48,0.89684,0.89684,,100.176016,16.0,2.0,7.0,1.0,25.0,,,,
"column_update_kernel(float *, int, int)",51.072,51.072,17.594339,17.594339,,99.661172,16.0,2.0,3.0,1.0,23.0,,,,
"trailing_matrix_kernel(float *, int, int)",31.488,31.488,67.419386,67.419386,,96.826718,16.0,2.0,3.0,1.0,29.0,,,,
"portf_diag_kernel(float *, int, int)",56.352,56.352,0.894508,0.894508,,99.71919,16.0,2.0,7.0,1.0,25.0,,,,
"column_update_kernel(float *, int, int)",51.04,51.04,16.35297,16.35297,,99.843339,16.0,2.0,3.0,1.0,23.0,,,,
"trailing_matrix_kernel(float *, int, int)",30.528,30.528,60.569129,60.569129,,96.885507,16.0,2.0,3.0,1.0,29.0,,,,
"portf_diag_kernel(float *, int, int)",56.16,56.16,0.90339,0.90339,,100.221925,16.0,2.0,7.0,1.0,25.0,,,,
"column_update_kernel(float *, int, int)",51.168,51.168,14.974303,14.974303,,99.63539,16.0,2.0,3.0,1.0,23.0,,,,
"trailing_matrix_kernel(float *, int, int)",23.584,23.584,67.332565,67.332565,,97.026961,16.0,2.0,3.0,1.0,29.0,,,,
"portf_diag_kernel(float *, int, int)",56.384,56.384,0.90021,0.90021,,99.643726,16.0,2.0,7.0,1.0,25.0,,,,
"column_update_kernel(float *, int, int)",50.944,50.944,13.814479,13.814479,,99.385224,16.0,2.0,3.0,1.0,23.0,,,,
"trailing_matrix_kernel(float *, int, int)",22.016,22.016,61.08436,61.08436,,96.898766,16.0,2.0,3.0,1.0,29.0,,,,
"portf_diag_kernel(float *, int, int)",56.576,56.576,0.896301,0.896301,,99.971942,16.0,2.0,7.0,1.0,25.0,,,,
"column_update_kernel(float *, int, int)",50.912,50.912,12.595458,12.595458,,99.751643,16.0,2.0,3.0,1.0,23.0,,,,
"trailing_matrix_kernel(float *, int, int)",21.408,21.408,51.990356,51.990356,,97.188614,16.0,2.0,3.0,1.0,29.0,,,,
"portf_diag_kernel(float *, int, int)",56.768,56.768,0.890659,0.890659,,100.118754,16.0,2.0,7.0,1.0,25.0,,,,
"column_update_kernel(float *, int, int)",51.104,51.104,11.303362,11.303362,,99.829305,16.0,2.0,3.0,1.0,23.0,,,,
"trailing_matrix_kernel(float *, int, int)",20.864,20.864,43.859071,43.859071,,97.588501,16.0,2.0,3.0,1.0,29.0,,,,
"portf_diag_kernel(float *, int, int)",56.0,56.0,0.900732,0.900732,,99.027662,16.0,2.0,7.0,1.0,25.0,,,,
"column_update_kernel(float *, int, int)",51.04,51.04,9.991927,9.991927,,99.819411,16.0,2.0,3.0,1.0,23.0,,,,
"trailing_matrix_kernel(float *, int, int)",12.64,12.64,58.146895,58.146895,,97.240447,16.0,2.0,3.0,1.0,29.0,,,,
"portf_diag_kernel(float *, int, int)",56.128,56.128,0.902064,0.902064,,99.835266,16.0,2.0,7.0,1.0,25.0,,,,
"column_update_kernel(float *, int, int)",50.88,50.88,8.83245,8.83245,,99.740174,16.0,2.0,3.0,1.0,23.0,,,,
"trailing_matrix_kernel(float *, int, int)",12.48,12.48,45.738252,45.738252,,97.260366,16.0,2.0,3.0,1.0,29.0,,,,
"portf_diag_kernel(float *, int, int)",56.48,56.48,0.89003,0.89003,,99.86286,16.0,2.0,7.0,1.0,25.0,,,,
"column_update_kernel(float *, int, int)",50.944,50.944,7.576953,7.576953,,99.738326,16.0,2.0,3.0,1.0,23.0,,,,
"trailing_matrix_kernel(float *, int, int)",12.096,12.096,35.626881,35.626881,,96.208081,16.0,2.0,3.0,1.0,29.0,,,,
"portf_diag_kernel(float *, int, int)",56.576,56.576,0.897418,0.897418,,99.394615,16.0,2.0,7.0,1.0,25.0,,,,
"column_update_kernel(float *, int, int)",50.976,50.976,6.287618,6.287618,,99.68284,16.0,2.0,3.0,1.0,23.0,,,,
"trailing_matrix_kernel(float *, int, int)",12.064,12.064,25.425185,25.425185,,96.980833,16.0,2.0,3.0,1.0,29.0,,,,
"portf_diag_kernel(float *, int, int)",56.384,56.384,0.896665,0.896665,,99.652079,16.0,2.0,7.0,1.0,25.0,,,,
"column_update_kernel(float *, int, int)",50.784,50.784,5.065278,5.065278,,99.904662,16.0,2.0,3.0,1.0,23.0,,,,
"trailing_matrix_kernel(float *, int, int)",11.872,11.872,17.318044,17.318044,,97.129466,16.0,2.0,3.0,1.0,29.0,,,,
"portf_diag_kernel(float *, int, int)",56.608,56.608,0.888712,0.888712,,99.158953,16.0,2.0,7.0,1.0,25.0,,,,
"column_update_kernel(float *, int, int)",51.04,51.04,3.764378,3.764378,,100.108099,16.0,2.0,3.0,1.0,23.0,,,,
"trailing_matrix_kernel(float *, int, int)",11.872,11.872,10.35327,10.35327,,97.313633,16.0,2.0,3.0,1.0,29.0,,,,
"portf_diag_kernel(float *, int, int)",56.544,56.544,0.890293,0.890293,,99.664868,16.0,2.0,7.0,1.0,25.0,,,,
"column_update_kernel(float *, int, int)",50.752,50.752,2.526998,2.526998,,99.683354,16.0,2.0,3.0,1.0,23.0,,,,
"trailing_matrix_kernel(float *, int, int)",11.776,11.776,5.190099,5.190099,,97.556575,16.0,2.0,3.0,1.0,29.0,,,,
"portf_diag_kernel(float *, int, int)",56.672,56.672,0.893609,0.893609,,100.346982,16.0,2.0,7.0,1.0,25.0,,,,
"column_update_kernel(float *, int, int)",50.72,50.72,1.264899,1.264899,,99.452275,16.0,2.0,3.0,1.0,23.0,,,,
"trailing_matrix_kernel(float *, int, int)",11.712,11.712,1.739437,1.739437,,98.915308,16.0,2.0,3.0,1.0,29.0,,,,
"portf_diag_kernel(float *, int, int)",56.48,56.48,0.896312,0.896312,,99.879774,16.0,2.0,7.0,1.0,25.0,,,,
"potrf_alg2_set_info(int, int, int *)",3.104,3.104,0.005002,0.854264,,3.119703,16.0,128.0,16.0,32.0,16.0,,,,
"void potrf_alg2_cta_upper<float, float, 32>(int, int, T1 *, unsigned long, int *)",37.92,37.92,0.549453,0.549453,,97.902013,16.0,2.0,128.0,1.0,22.0,,,,
"void potrf_alg2_upper_trsm<float, 5, 3>(int, int, T1 *, unsigned long, T1 *, unsigned long)",20.448,20.448,35.473572,35.473572,,37.615047,16.0,8.0,6.0,4.0,28.0,,,,
"void potrf_alg2_syrk_kernel<float, 1, 0, 5, 5, 3, 4, 4>(int, int, int, const T1 *, unsigned long, T1 *, unsigned long, bool)",29.568,29.568,48.191431,48.191431,,65.374915,16.0,5.0,14.0,4.0,48.0,,,,
"void potrf_alg2_cta_upper<float, float, 32>(int, int, T1 *, unsigned long, int *)",37.792,37.792,0.551741,0.551741,,97.898464,16.0,2.0,128.0,1.0,22.0,,,,
"void potrf_alg2_upper_trsm<float, 5, 3>(int, int, T1 *, unsigned long, T1 *, unsigned long)",19.904,19.904,33.772723,33.772723,,35.236297,16.0,8.0,6.0,4.0,28.0,,,,
