kernel,gpu__time_duration.sum,gpu__time_duration.avg,sm__throughput.avg.pct_of_peak_sustained_elapsed,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,dram__throughput.avg.pct_of_peak_sustained_elapsed,sm__warps_active.avg.pct_of_peak_sustained_active,launch__occupancy_limit_blocks,launch__occupancy_limit_registers,launch__occupancy_limit_shared_mem,launch__occupancy_limit_warps,launch__registers_per_thread,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,dram__bytes.sum,l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum
"void potrf_alg2_upper_trsm<float, 5, 3>(int, int, T1 *, unsigned long, T1 *, unsigned long)",18.976,18.976,27.937015,27.937015,,27.574321,16.0,8.0,6.0,4.0,28.0,,,,
"void potrf_alg2_syrk_kernel<float, 1, 0, 5, 5, 3, 4, 4>(int, int, int, const T1 *, unsigned long, T1 *, unsigned long, bool)",26.624,26.624,30.572455,30.572455,,46.776662,16.0,5.0,14.0,4.0,48.0,,,,
"void potrf_alg2_cta_upper<float, float, 32>(int, int, T1 *, unsigned long, int *)",37.824,37.824,0.551156,0.551156,,97.851777,16.0,2.0,128.0,1.0,22.0,,,,
"void potrf_alg2_upper_trsm<float, 5, 3>(int, int, T1 *, unsigned long, T1 *, unsigned long)",18.368,18.368,26.228525,26.228525,,24.931315,16.0,8.0,6.0,4.0,28.0,,,,
"void potrf_alg2_syrk_kernel<float, 1, 0, 5, 5, 3, 4, 4>(int, int, int, const T1 *, unsigned long, T1 *, unsigned long, bool)",22.432,22.432,30.527984,30.527984,,42.04119,16.0,5.0,14.0,4.0,48.0,,,,
"void potrf_alg2_cta_upper<float, float, 32>(int, int, T1 *, unsigned long, int *)",37.888,37.888,0.549647,0.549647,,97.946152,16.0,2.0,128.0,1.0,22.0,,,,
"void potrf_alg2_upper_trsm<float, 5, 3>(int, int, T1 *, unsigned long, T1 *, unsigned long)",18.24,18.24,23.707383,23.707383,,25.005538,16.0,8.0,6.0,4.0,28.0,,,,
"void potrf_alg2_syrk_kernel<float, 1, 0, 5, 5, 3, 4, 4>(int, int, int, const T1 *, unsigned long, T1 *, unsigned long, bool)",21.76,21.76,25.934642,25.934642,,37.645204,16.0,5.0,14.0,4.0,48.0,,,,
"void potrf_alg2_cta_upper<float, float, 32>(int, int, T1 *, unsigned long, int *)",37.792,37.792,0.551171,0.551171,,97.795102,16.0,2.0,128.0,1.0,22.0,,,,
"void potrf_alg2_upper_trsm<float, 5, 3>(int, int, T1 *, unsigned long, T1 *, unsigned long)",18.592,18.592,20.774981,20.774981,,25.06803,16.0,8.0,6.0,4.0,28.0,,,,
"void potrf_alg2_syrk_kernel<float, 1, 0, 5, 5, 3, 4, 4>(int, int, int, const T1 *, unsigned long, T1 *, unsigned long, bool)",16.608,16.608,27.528171,27.528171,,31.327171,16.0,5.0,14.0,4.0,48.0,,,,
"void potrf_alg2_cta_upper<float, float, 32>(int, int, T1 *, unsigned long, int *)",37.888,37.888,0.549557,0.549557,,97.918155,16.0,2.0,128.0,1.0,22.0,,,,
"void potrf_alg2_upper_trsm<float, 5, 3>(int, int, T1 *, unsigned long, T1 *, unsigned long)",18.528,18.528,18.282218,18.282218,,24.953079,16.0,8.0,6.0,4.0,28.0,,,,
"void potrf_alg2_syrk_kernel<float, 1, 0, 5, 5, 3, 4, 4>(int, int, int, const T1 *, unsigned long, T1 *, unsigned long, bool)",16.16,16.16,22.609555,22.609555,,28.16171,16.0,5.0,14.0,4.0,48.0,,,,
"void potrf_alg2_cta_upper<float, float, 32>(int, int, T1 *, unsigned long, int *)",37.888,37.888,0.551801,0.551801,,98.048444,16.0,2.0,128.0,1.0,22.0,,,,
"void potrf_alg2_upper_trsm<float, 5, 3>(int, int, T1 *, unsigned long, T1 *, unsigned long)",17.792,17.792,16.198704,16.198704,,24.961288,16.0,8.0,6.0,4.0,28.0,,,,
"void potrf_alg2_syrk_kernel<float, 1, 0, 5, 5, 3, 4, 4>(int, int, int, const T1 *, unsigned long, T1 *, unsigned long, bool)",12.128,12.128,23.436452,23.436452,,24.711923,16.0,5.0,14.0,4.0,48.0,,,,
"void potrf_alg2_cta_upper<float, float, 32>(int, int, T1 *, unsigned long, int *)",37.92,37.92,0.54924,0.54924,,97.925686,16.0,2.0,128.0,1.0,22.0,,,,
"void potrf_alg2_upper_trsm<float, 5, 3>(int, int, T1 *, unsigned long, T1 *, unsigned long)",17.728,17.728,13.565366,13.565366,,24.947014,16.0,8.0,6.0,4.0,28.0,,,,
"void potrf_alg2_syrk_kernel<float, 1, 0, 5, 5, 3, 4, 4>(int, int, int, const T1 *, unsigned long, T1 *, unsigned long, bool)",11.904,11.904,17.112861,17.112861,,24.600576,16.0,5.0,14.0,4.0,48.0,,,,
"void potrf_alg2_cta_upper<float, float, 32>(int, int, T1 *, unsigned long, int *)",37.824,37.824,0.551211,0.551211,,97.79999,16.0,2.0,128.0,1.0,22.0,,,,
"void potrf_alg2_upper_trsm<float, 5, 3>(int, int, T1 *, unsigned long, T1 *, unsigned long)",17.792,17.792,10.812689,10.812689,,24.90035,16.0,8.0,6.0,4.0,28.0,,,,
"void potrf_alg2_syrk_kernel<float, 1, 0, 5, 5, 3, 4, 4>(int, int, int, const T1 *, unsigned long, T1 *, unsigned long, bool)",10.912,10.912,12.804547,12.804547,,24.611959,16.0,5.0,14.0,4.0,48.0,,,,
"void potrf_alg2_cta_upper<float, float, 32>(int, int, T1 *, unsigned long, int *)",38.048,38.048,0.549007,0.549007,,97.827226,16.0,2.0,128.0,1.0,22.0,,,,
"void potrf_alg2_upper_trsm<float, 5, 3>(int, int, T1 *, unsigned long, T1 *, unsigned long)",17.728,17.728,8.154231,8.154231,,24.952095,16.0,8.0,6.0,4.0,28.0,,,,
"void potrf_alg2_syrk_kernel<float, 1, 0, 5, 5, 3, 4, 4>(int, int, int, const T1 *, unsigned long, T1 *, unsigned long, bool)",10.848,10.848,7.809578,7.809578,,24.825156,16.0,5.0,14.0,4.0,48.0,,,,
"void potrf_alg2_cta_upper<float, float, 32>(int, int, T1 *, unsigned long, int *)",37.792,37.792,0.551016,0.551016,,97.67971,16.0,2.0,128.0,1.0,22.0,,,,
"void potrf_alg2_upper_trsm<float, 5, 3>(int, int, T1 *, unsigned long, T1 *, unsigned long)",18.624,18.624,5.174549,5.174549,,24.904935,16.0,8.0,6.0,4.0,28.0,,,,
"void potrf_alg2_syrk_kernel<float, 1, 0, 5, 5, 3, 4, 4>(int, int, int, const T1 *, unsigned long, T1 *, unsigned long, bool)",11.008,11.008,3.865008,3.865008,,24.573092,16.0,5.0,14.0,4.0,48.0,,,,
"void potrf_alg2_cta_upper<float, float, 32>(int, int, T1 *, unsigned long, int *)",37.856,37.856,0.548611,0.548611,,97.737408,16.0,2.0,128.0,1.0,22.0,,,,
"void potrf_alg2_upper_trsm<float, 5, 3>(int, int, T1 *, unsigned long, T1 *, unsigned long)",17.76,17.76,2.708245,2.708245,,24.991664,16.0,8.0,6.0,4.0,28.0,,,,
"void potrf_alg2_syrk_kernel<float, 1, 0, 5, 5, 3, 4, 4>(int, int, int, const T1 *, unsigned long, T1 *, unsigned long, bool)",10.464,10.464,1.020543,1.020543,,24.637747,16.0,5.0,14.0,4.0,48.0,,,,
"void potrf_alg2_cta_upper<float, float, 32>(int, int, T1 *, unsigned long, int *)",37.856,37.856,0.550348,0.550348,,97.846534,16.0,2.0,128.0,1.0,22.0,,,,
potrf_alg2_reset_info(int *),3.584,3.584,0.004939,0.679258,,3.117741,16.0,128.0,16.0,32.0,16.0,,,,
