Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
10400521902,1578666,468,,,,,,,,,,25.166,15929.967,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (0),1,,7,[CUDA memcpy Host-to-Device]
10402155768,653412,469,,,,,,,,,,12.583,19251.855,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (0),1,,7,[CUDA memcpy Host-to-Device]
10402816476,4769,470,,,,,,,,,,8.389,1758982.046,Device,,NVIDIA RTX PRO 4500 Blackwell (0),1,,7,[CUDA memset]
10959066021,544,1755,,,,,,,,,,0.002,4470.588,Device,,NVIDIA RTX PRO 4500 Blackwell (0),1,,17,[CUDA memset]
10959327719,384,1766,,,,,,,,,,0.000,187.500,Device,,NVIDIA RTX PRO 4500 Blackwell (0),1,,17,[CUDA memset]
10959359111,256,1769,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (0),1,,17,[CUDA memcpy Host-to-Device]
10959368167,256,1772,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (0),1,,17,[CUDA memcpy Host-to-Device]
10959373511,224,1775,,,,,,,,,,0.000,35.714,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (0),1,,17,[CUDA memcpy Host-to-Device]
10959378471,224,1778,,,,,,,,,,0.000,35.714,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (0),1,,17,[CUDA memcpy Host-to-Device]
10959508808,384,1789,,,,,,,,,,0.000,41.667,Device,,NVIDIA RTX PRO 4500 Blackwell (0),1,,17,[CUDA memset]
10959645161,480,1802,,,,,,,,,,0.002,5066.666,Device,,NVIDIA RTX PRO 4500 Blackwell (0),1,,17,[CUDA memset]
10959761097,384,1813,,,,,,,,,,0.000,187.500,Device,,NVIDIA RTX PRO 4500 Blackwell (0),1,,17,[CUDA memset]
10959767657,256,1816,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (0),1,,17,[CUDA memcpy Host-to-Device]
10959770889,256,1819,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (0),1,,17,[CUDA memcpy Host-to-Device]
10959773993,256,1822,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (0),1,,17,[CUDA memcpy Host-to-Device]
10959776937,288,1825,,,,,,,,,,0.000,27.778,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (0),1,,17,[CUDA memcpy Host-to-Device]
