Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Source,Name
96.0,1541300074,1,1541300074.0,1541300074.0,1541300074,1541300074,0.0,other,MPI_Init
2.7,43598125,1,43598125.0,43598125.0,43598125,43598125,0.0,other,MPI_Finalize
1.0,16607742,6,2767957.0,2577793.0,1199752,5376405,1594739.4,p2p,MPI_Send
0.2,3167149,3,1055716.3,1042813.0,1039463,1084873,25305.9,p2p,MPI_Recv
0.0,63520,1,63520.0,63520.0,63520,63520,0.0,collectives,MPI_Barrier
0.0,7130,1,7130.0,7130.0,7130,7130,0.0,collectives,MPI_Bcast
