Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
72.2,1765925012,4,441481253.0,440204104.0,413431194,472085610,28403295.1,PushPop,NCCL:ncclCommDestroy
22.3,546085006,1,546085006.0,546085006.0,546085006,546085006,0.0,PushPop,NCCL:ncclCommInitRank
3.5,86846013,5,17369202.6,33670.0,29510,86682383,38747248.9,PushPop,NCCL:ncclGroupEnd
1.9,47195312,3,15731770.7,13340033.0,8581474,25273805,8599348.0,PushPop,NCCL:ncclCommSplit
0.0,705155,3,235051.7,259338.0,169039,276778,57829.9,PushPop,NCCL:ncclCommFinalize
0.0,44879,10,4487.9,1935.0,1200,16250,5417.4,PushPop,NCCL:ncclBroadcast
0.0,17190,5,3438.0,540.0,260,15410,6693.5,PushPop,NCCL:ncclGroupStart
0.0,13870,4,3467.5,3415.0,1890,5150,1582.1,PushPop,NCCL:ncclMemFree
0.0,1130,1,1130.0,1130.0,1130,1130,0.0,PushPop,NCCL:ncclCommUserRank
0.0,350,1,350.0,350.0,350,350,0.0,PushPop,NCCL:ncclCommCount
