Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
35.0,64392330,8,8049041.3,7073764.0,304258,14870113,5738058.3,cuLibraryLoadData
12.6,23285535,8,2910691.9,2890626.0,935743,5660422,1321603.6,cuMemExportToShareableHandle
10.7,19615630,48,408659.0,168939.0,62119,6614917,1043482.8,cuMemSetAccess
6.7,12414409,6,2069068.2,1759154.0,705665,4996087,1550766.7,cudaMemcpy
5.8,10628461,48,221426.3,149219.0,55870,1774308,293309.9,cuMemUnmap
4.7,8561184,97,88259.6,31810.0,80,1302122,172822.3,cuMemRelease
3.6,6583757,10,658375.7,4625.0,3270,6535067,2064860.1,cuLaunchKernelEx
3.0,5554247,8,694280.9,458417.5,282639,1613140,487059.0,cuMemImportFromShareableHandle
2.9,5422235,16,338889.7,8450.0,2600,1900227,714814.4,cudaHostAlloc
2.5,4534470,20,226723.5,109264.0,590,1526120,385769.2,cudaFree
2.4,4485340,17,263843.5,12310.0,5090,1602679,560302.8,cudaFreeHost
2.2,4046764,27,149880.1,2760.0,770,3967924,763045.2,cudaStreamSynchronize
1.6,3011379,41,73448.3,46699.0,21980,629926,101961.1,cuMemCreate
1.6,2927051,6,487841.8,285.0,250,1572120,758490.1,cuKernelGetFunction
1.4,2508614,48,52262.8,55880.0,2380,232938,42877.9,cuMemMap
1.2,2295014,13,176539.5,144079.0,2930,408427,121863.0,cudaMalloc
0.5,927095,17,54535.0,9540.0,2390,347318,98790.0,cudaStreamCreateWithFlags
0.3,482096,2632,183.2,140.0,70,3690,137.3,cuGetProcAddress_v2
0.2,322090,38,8476.1,5555.0,2740,29610,6620.7,cudaMemsetAsync
0.2,289240,48,6025.8,4845.0,2340,29870,4409.1,cudaMemcpyAsync
0.1,200298,48,4172.9,3585.0,1160,25770,3669.7,cuMemAddressFree
0.1,190419,4,47604.8,45410.0,33500,66099,14209.6,cudaMemPoolDestroy_v11020
0.1,189639,4,47409.8,27700.0,23200,111039,42485.8,cudaMemPoolCreate_v11020
0.1,176058,48,3667.9,2795.0,1150,14630,2534.5,cuMemAddressReserve
0.1,165120,18,9173.3,7215.0,3280,17560,4388.8,cudaStreamDestroy
0.1,140119,294,476.6,290.0,140,4160,589.6,cudaThreadExchangeStreamCaptureMode_v10010
0.0,91090,23,3960.4,3210.0,1770,12980,2763.2,cudaEventRecord
0.0,81260,2,40630.0,40630.0,37340,43920,4652.8,cudaMemset
0.0,80160,48,1670.0,1100.0,370,7320,1475.4,cuMemRetainAllocationHandle
0.0,67319,6,11219.8,8045.0,5780,22870,6845.2,cudaMemcpy2DAsync
0.0,62420,10,6242.0,4965.0,1210,23820,6595.0,cudaDeviceSynchronize
0.0,59739,58,1030.0,580.0,230,16680,2161.8,cudaEventDestroy
0.0,57689,6,9614.8,4265.0,3250,22569,9062.4,cuLaunchKernel
0.0,51569,42,1227.8,1020.0,470,3710,825.1,cudaStreamWaitEvent
0.0,45808,58,789.8,305.0,240,9680,1730.5,cudaEventCreateWithFlags
0.0,43119,10,4311.9,4150.0,460,8829,3674.2,cuLibraryGetKernel
0.0,21960,52,422.3,175.0,110,10110,1376.6,cuMemGetAllocationGranularity
0.0,17260,1,17260.0,17260.0,17260,17260,0.0,cudaStreamCreate
0.0,17060,10,1706.0,1440.0,1100,3450,696.9,cuInit
0.0,11330,1,11330.0,11330.0,11330,11330,0.0,cudaEventQuery
0.0,10650,41,259.8,220.0,160,730,125.0,cudaGetDriverEntryPointByVersion_v12050
0.0,10580,10,1058.0,605.0,370,3400,1012.9,cudaGetFuncBySymbol_v11000
0.0,8090,20,404.5,220.0,170,2230,505.5,cudaStreamGetCaptureInfo_v3_v12030
0.0,7360,1,7360.0,7360.0,7360,7360,0.0,cudaMallocHost
0.0,4630,4,1157.5,1110.0,880,1530,276.9,cudaMemPoolSetAttribute_v11020
0.0,3910,9,434.4,320.0,90,1460,426.0,cuStreamGetGreenCtx
0.0,2710,7,387.1,120.0,90,1890,664.2,cuModuleGetLoadingMode
0.0,2510,5,502.0,180.0,70,1850,759.3,cuStreamGetCaptureInfo_v2
0.0,1650,5,330.0,360.0,150,500,128.1,cudaGetDeviceProperties_v2_v12000
0.0,870,2,435.0,435.0,290,580,205.1,cudaGetDriverEntryPoint_v11030
