Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Source,Name
83.8,5900459780,2,2950229890.0,2950229890.0,285519791,5614939989,3768469161.8,p2p,MPI_Recv
10.1,710780388,1,710780388.0,710780388.0,710780388,710780388,0.0,other,MPI_Init
3.7,261422029,1,261422029.0,261422029.0,261422029,261422029,0.0,other,MPI_Finalize
1.4,95564605,1,95564605.0,95564605.0,95564605,95564605,0.0,collectives,MPI_Bcast
1.1,75527786,1,75527786.0,75527786.0,75527786,75527786,0.0,p2p,MPI_Send
0.0,86530,1,86530.0,86530.0,86530,86530,0.0,collectives,MPI_Barrier
