Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
72.5,1768427876,4,442106969.0,445866266.5,413237256,463458087,23809188.7,PushPop,NCCL:ncclCommDestroy
22.0,535777813,1,535777813.0,535777813.0,535777813,535777813,0.0,PushPop,NCCL:ncclCommInitRank
3.6,86712032,5,17342406.4,34860.0,31130,86546613,38686330.5,PushPop,NCCL:ncclGroupEnd
1.9,47146551,3,15715517.0,13365382.0,8524055,25257114,8610526.5,PushPop,NCCL:ncclCommSplit
0.0,698944,3,232981.3,242528.0,178318,278098,50570.4,PushPop,NCCL:ncclCommFinalize
0.0,44840,10,4484.0,2170.0,1410,16230,5250.0,PushPop,NCCL:ncclBroadcast
0.0,21430,4,5357.5,3615.0,1730,12470,4956.8,PushPop,NCCL:ncclMemFree
0.0,15100,5,3020.0,310.0,230,13980,6126.9,PushPop,NCCL:ncclGroupStart
0.0,1200,1,1200.0,1200.0,1200,1200,0.0,PushPop,NCCL:ncclCommUserRank
0.0,370,1,370.0,370.0,370,370,0.0,PushPop,NCCL:ncclCommCount
