Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
28.8,42865019,4,10716254.8,13751660.0,581116,14780583,6775301.2,cuLibraryLoadData
16.6,24620373,48,512924.4,187488.5,64499,5393965,1008632.9,cuMemSetAccess
14.6,21658899,8,2707362.4,2684617.5,1711589,3625356,648216.0,cuMemExportToShareableHandle
7.1,10577600,8,1322200.0,1000533.0,160439,3267459,983231.5,cuMemImportFromShareableHandle
5.2,7784959,48,162186.6,129584.0,41599,444097,91687.2,cuMemUnmap
4.5,6742728,97,69512.7,40760.0,90,1244911,142109.8,cuMemRelease
3.5,5221285,16,326330.3,8790.0,2430,1915157,689302.0,cudaHostAlloc
3.0,4415630,17,259742.9,13130.0,4620,1495400,548802.7,cudaFreeHost
2.7,4061564,10,406156.4,4035.0,3290,4019084,1269454.7,cuLaunchKernelEx
2.3,3449195,41,84126.7,46500.0,22259,548927,104221.6,cuMemCreate
2.2,3239396,27,119977.6,2730.0,810,3164129,608381.1,cudaStreamSynchronize
1.8,2735992,3,911997.3,992403.0,654826,1088763,227868.7,cudaMemcpy
1.8,2679693,48,55826.9,45554.5,2230,305038,52917.7,cuMemMap
1.3,1982617,13,152509.0,11710.0,550,592456,223550.9,cudaFree
1.1,1580889,7,225841.3,226929.0,3770,452807,153992.3,cudaMalloc
1.0,1538009,5,307601.8,299.0,250,1536840,687165.0,cuKernelGetFunction
0.6,882295,17,51899.7,8650.0,2460,307758,90185.9,cudaStreamCreateWithFlags
0.2,359608,1794,200.5,150.0,70,7140,212.9,cuGetProcAddress_v2
0.2,288977,48,6020.4,5230.0,2280,19579,3722.7,cudaMemcpyAsync
0.2,287927,37,7781.8,5460.0,2770,28319,5514.6,cudaMemsetAsync
0.1,214178,4,53544.5,36169.5,34389,107450,35948.1,cudaMemPoolDestroy_v11020
0.1,211789,48,4412.3,3710.0,1320,24560,4318.8,cuMemAddressFree
0.1,200868,4,50217.0,36375.0,22169,105949,38534.6,cudaMemPoolCreate_v11020
0.1,185030,48,3854.8,2580.0,1370,15550,3336.7,cuMemAddressReserve
0.1,162048,18,9002.7,7469.5,4030,16409,4033.9,cudaStreamDestroy
0.1,139789,294,475.5,285.0,150,4310,535.8,cudaThreadExchangeStreamCaptureMode_v10010
0.1,79879,22,3630.9,3075.0,1780,12780,2542.9,cudaEventRecord
0.0,73839,48,1538.3,1025.0,410,8490,1533.8,cuMemRetainAllocationHandle
0.0,72740,5,14548.0,15860.0,6410,22790,7662.9,cudaMemcpy2DAsync
0.0,56930,6,9488.3,7180.0,3850,19010,5673.0,cudaDeviceSynchronize
0.0,52519,42,1250.5,1055.0,490,3830,827.0,cudaStreamWaitEvent
0.0,46880,40,1172.0,315.0,250,9470,2155.4,cudaEventCreateWithFlags
0.0,44659,1,44659.0,44659.0,44659,44659,0.0,cudaMemset
0.0,41300,5,8260.0,3930.0,3540,25030,9390.9,cuLaunchKernel
0.0,33550,40,838.8,625.0,220,2230,529.6,cudaEventDestroy
0.0,18040,1,18040.0,18040.0,18040,18040,0.0,cudaStreamCreate
0.0,16540,5,3308.0,1210.0,540,7710,3399.9,cuLibraryGetKernel
0.0,13189,41,321.7,290.0,250,700,92.8,cudaGetDriverEntryPointByVersion_v12050
0.0,12240,52,235.4,185.0,100,1080,169.9,cuMemGetAllocationGranularity
0.0,11500,10,1150.0,795.0,350,3190,1068.7,cudaGetFuncBySymbol_v11000
0.0,9250,6,1541.7,1295.0,1050,2550,606.6,cuInit
0.0,8460,20,423.0,210.0,170,2320,565.2,cudaStreamGetCaptureInfo_v3_v12030
0.0,7670,1,7670.0,7670.0,7670,7670,0.0,cudaMallocHost
0.0,4150,9,461.1,390.0,100,1530,436.0,cuStreamGetGreenCtx
0.0,3450,4,862.5,720.0,570,1440,396.9,cudaMemPoolSetAttribute_v11020
0.0,2310,5,462.0,140.0,90,1740,716.0,cuModuleGetLoadingMode
0.0,1700,5,340.0,340.0,230,400,67.5,cudaGetDeviceProperties_v2_v12000
