Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
9541940227,480,5941,,,,,,,,,,0.001,2533.333,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,29,[CUDA memset]
9542279012,384,5952,,,,,,,,,,0.000,104.167,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,29,[CUDA memset]
9542288516,224,5955,,,,,,,,,,0.000,35.714,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,29,[CUDA memcpy Host-to-Device]
9542293252,256,5958,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,29,[CUDA memcpy Host-to-Device]
9542582886,352,5969,,,,,,,,,,0.000,22.727,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,29,[CUDA memset]
9542820967,384,5982,,,,,,,,,,0.001,3166.666,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,29,[CUDA memset]
9543187337,352,5993,,,,,,,,,,0.000,113.636,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,29,[CUDA memset]
9543194665,224,5996,,,,,,,,,,0.000,35.714,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,29,[CUDA memcpy Host-to-Device]
9543197321,224,5999,,,,,,,,,,0.000,35.714,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,29,[CUDA memcpy Host-to-Device]
9543705579,352,6010,,,,,,,,,,0.000,22.727,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,29,[CUDA memset]
9544132717,800,6023,,,,,,,,,,0.024,29560.000,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,29,[CUDA memset]
9544423982,352,6034,,,,,,,,,,0.000,22.727,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,29,[CUDA memset]
9544430798,256,6037,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,29,[CUDA memcpy Host-to-Device]
9546412055,416,6049,,,,,,,,,,0.000,19.231,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,29,[CUDA memcpy Host-to-Device]
9546416408,288,6052,,,,,,,,,,0.000,27.778,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,29,[CUDA memcpy Host-to-Device]
9546423800,1056,6055,,,,,,,,,,0.024,22393.923,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,29,[CUDA memcpy Host-to-Device]
9578916814,672,6147,,,,,,,,,,0.000,226.190,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,30,[CUDA memcpy Host-to-Device]
9583154690,320,6154,,,,,,,,,,0.000,475.000,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,30,[CUDA memcpy Host-to-Device]
9589290334,320,6161,,,,,,,,,,0.000,475.000,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,30,[CUDA memcpy Host-to-Device]
9594754999,288,6168,,,,,,,,,,0.000,527.778,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,30,[CUDA memcpy Host-to-Device]
9611917063,448,6247,,,,,,,,,,0.000,339.286,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,28,[CUDA memcpy Host-to-Device]
9616847358,320,6254,,,,,,,,,,0.000,475.000,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,28,[CUDA memcpy Host-to-Device]
9623171163,288,6261,,,,,,,,,,0.000,527.778,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,28,[CUDA memcpy Host-to-Device]
9629655193,288,6268,,,,,,,,,,0.000,527.778,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,28,[CUDA memcpy Host-to-Device]
