Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Source,Name
90.1,5988173176,2,2994086588.0,2994086588.0,210505392,5777667784,3936578279.3,p2p,MPI_Recv
4.7,310176740,1,310176740.0,310176740.0,310176740,310176740,0.0,other,MPI_Init
3.1,204334723,1,204334723.0,204334723.0,204334723,204334723,0.0,other,MPI_Finalize
2.0,135303145,1,135303145.0,135303145.0,135303145,135303145,0.0,p2p,MPI_Send
0.2,11064708,1,11064708.0,11064708.0,11064708,11064708,0.0,collectives,MPI_Bcast
0.0,25310,1,25310.0,25310.0,25310,25310,0.0,collectives,MPI_Barrier
