Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
10455234170,256,5942,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (1),1,,29,[CUDA memcpy Host-to-Device]
10455553020,384,5953,,,,,,,,,,0.000,20.833,Device,,NVIDIA RTX PRO 4500 Blackwell (1),1,,29,[CUDA memset]
10455889406,384,5966,,,,,,,,,,0.001,3166.666,Device,,NVIDIA RTX PRO 4500 Blackwell (1),1,,29,[CUDA memset]
10456197663,384,5977,,,,,,,,,,0.000,104.167,Device,,NVIDIA RTX PRO 4500 Blackwell (1),1,,29,[CUDA memset]
10456204959,224,5980,,,,,,,,,,0.000,35.714,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (1),1,,29,[CUDA memcpy Host-to-Device]
10456208319,256,5983,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (1),1,,29,[CUDA memcpy Host-to-Device]
10456615298,384,5994,,,,,,,,,,0.000,20.833,Device,,NVIDIA RTX PRO 4500 Blackwell (1),1,,29,[CUDA memset]
10456978916,768,6007,,,,,,,,,,0.024,30791.659,Device,,NVIDIA RTX PRO 4500 Blackwell (1),1,,29,[CUDA memset]
10457244741,352,6018,,,,,,,,,,0.000,22.727,Device,,NVIDIA RTX PRO 4500 Blackwell (1),1,,29,[CUDA memset]
10457251589,224,6021,,,,,,,,,,0.000,35.714,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (1),1,,29,[CUDA memcpy Host-to-Device]
10459224240,448,6033,,,,,,,,,,0.000,17.857,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (1),1,,29,[CUDA memcpy Host-to-Device]
10459228528,288,6036,,,,,,,,,,0.000,27.778,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (1),1,,29,[CUDA memcpy Host-to-Device]
10459235984,1056,6039,,,,,,,,,,0.024,22393.923,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (1),1,,29,[CUDA memcpy Host-to-Device]
10460062356,8672,6046,,,,,,,,,,4.194,483657.777,Device,Device,NVIDIA RTX PRO 4500 Blackwell (1),1,,16,[CUDA memcpy Device-to-Device]
