Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
72.2,1777003853,4,444250963.3,445529974.5,408445508,477498396,33308625.7,PushPop,NCCL:ncclCommDestroy
22.3,549526854,1,549526854.0,549526854.0,549526854,549526854,0.0,PushPop,NCCL:ncclCommInitRank
3.5,85450271,5,17090054.2,34900.0,31099,85274572,38116308.6,PushPop,NCCL:ncclGroupEnd
1.9,47578188,3,15859396.0,13791199.0,8132047,25654942,8942652.9,PushPop,NCCL:ncclCommSplit
0.0,717334,3,239111.3,265648.0,170898,280788,59557.5,PushPop,NCCL:ncclCommFinalize
0.0,46440,10,4644.0,2430.0,1360,16580,5316.5,PushPop,NCCL:ncclBroadcast
0.0,13080,4,3270.0,3105.0,1970,4900,1362.8,PushPop,NCCL:ncclMemFree
0.0,12270,5,2454.0,320.0,270,11030,4794.3,PushPop,NCCL:ncclGroupStart
0.0,1170,1,1170.0,1170.0,1170,1170,0.0,PushPop,NCCL:ncclCommUserRank
0.0,440,1,440.0,440.0,440,440,0.0,PushPop,NCCL:ncclCommCount
