Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
8969591477,1546244,468,,,,,,,,,,25.166,16257.122,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,7,[CUDA memcpy Host-to-Device]
8971189049,375201,469,,,,,,,,,,8.389,22355.640,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,7,[CUDA memcpy Host-to-Device]
8971567226,4864,470,,,,,,,,,,8.389,1724630.696,Device,,NVIDIA RTX PRO 4500 Blackwell (2),1,,7,[CUDA memset]
9567733749,544,1754,,,,,,,,,,0.002,4470.588,Device,,NVIDIA RTX PRO 4500 Blackwell (2),1,,17,[CUDA memset]
9567871765,416,1765,,,,,,,,,,0.000,173.077,Device,,NVIDIA RTX PRO 4500 Blackwell (2),1,,17,[CUDA memset]
9567893109,224,1768,,,,,,,,,,0.000,35.714,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,17,[CUDA memcpy Host-to-Device]
9567898357,256,1771,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,17,[CUDA memcpy Host-to-Device]
9567901109,256,1774,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,17,[CUDA memcpy Host-to-Device]
9567904565,224,1777,,,,,,,,,,0.000,35.714,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,17,[CUDA memcpy Host-to-Device]
9568075094,384,1788,,,,,,,,,,0.000,41.667,Device,,NVIDIA RTX PRO 4500 Blackwell (2),1,,17,[CUDA memset]
9568270998,480,1801,,,,,,,,,,0.002,5066.666,Device,,NVIDIA RTX PRO 4500 Blackwell (2),1,,17,[CUDA memset]
9568470231,384,1812,,,,,,,,,,0.000,187.500,Device,,NVIDIA RTX PRO 4500 Blackwell (2),1,,17,[CUDA memset]
9568478071,256,1815,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,17,[CUDA memcpy Host-to-Device]
9568481719,256,1818,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,17,[CUDA memcpy Host-to-Device]
9568485207,256,1821,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,17,[CUDA memcpy Host-to-Device]
9568487671,256,1824,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,17,[CUDA memcpy Host-to-Device]
9568635063,384,1835,,,,,,,,,,0.000,41.667,Device,,NVIDIA RTX PRO 4500 Blackwell (2),1,,17,[CUDA memset]
9571757313,1152,1848,,,,,,,,,,0.024,20527.765,Device,,NVIDIA RTX PRO 4500 Blackwell (2),1,,17,[CUDA memset]
9571890849,416,1859,,,,,,,,,,0.000,38.462,Device,,NVIDIA RTX PRO 4500 Blackwell (2),1,,17,[CUDA memset]
9571899009,288,1862,,,,,,,,,,0.000,55.556,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,17,[CUDA memcpy Host-to-Device]
9572088513,256,1874,,,,,,,,,,0.000,62.500,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,17,[CUDA memcpy Host-to-Device]
9572092001,256,1877,,,,,,,,,,0.000,62.500,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,17,[CUDA memcpy Host-to-Device]
9572100513,1056,1880,,,,,,,,,,0.024,22393.923,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,17,[CUDA memcpy Host-to-Device]
9598587278,640,4996,,,,,,,,,,0.002,3800.000,Device,,NVIDIA RTX PRO 4500 Blackwell (2),1,,25,[CUDA memset]
9598894319,384,5007,,,,,,,,,,0.000,187.500,Device,,NVIDIA RTX PRO 4500 Blackwell (2),1,,25,[CUDA memset]
9598906671,224,5010,,,,,,,,,,0.000,35.714,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,25,[CUDA memcpy Host-to-Device]
9598911343,224,5013,,,,,,,,,,0.000,35.714,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,25,[CUDA memcpy Host-to-Device]
9598916495,256,5016,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,25,[CUDA memcpy Host-to-Device]
9598918863,256,5019,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,25,[CUDA memcpy Host-to-Device]
9599426448,352,5030,,,,,,,,,,0.000,45.455,Device,,NVIDIA RTX PRO 4500 Blackwell (2),1,,25,[CUDA memset]
9599786161,480,5043,,,,,,,,,,0.002,5066.666,Device,,NVIDIA RTX PRO 4500 Blackwell (2),1,,25,[CUDA memset]
9600116690,384,5054,,,,,,,,,,0.000,187.500,Device,,NVIDIA RTX PRO 4500 Blackwell (2),1,,25,[CUDA memset]
9600123506,224,5057,,,,,,,,,,0.000,35.714,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,25,[CUDA memcpy Host-to-Device]
9600127058,256,5060,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,25,[CUDA memcpy Host-to-Device]
9600131538,256,5063,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,25,[CUDA memcpy Host-to-Device]
9600133938,224,5066,,,,,,,,,,0.000,35.714,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,25,[CUDA memcpy Host-to-Device]
9600469203,384,5077,,,,,,,,,,0.000,41.667,Device,,NVIDIA RTX PRO 4500 Blackwell (2),1,,25,[CUDA memset]
9600855701,800,5090,,,,,,,,,,0.024,29560.000,Device,,NVIDIA RTX PRO 4500 Blackwell (2),1,,25,[CUDA memset]
9601071445,384,5101,,,,,,,,,,0.000,41.667,Device,,NVIDIA RTX PRO 4500 Blackwell (2),1,,25,[CUDA memset]
9601079189,256,5104,,,,,,,,,,0.000,62.500,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,25,[CUDA memcpy Host-to-Device]
9602960731,448,5116,,,,,,,,,,0.000,35.714,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,25,[CUDA memcpy Host-to-Device]
9602965115,288,5119,,,,,,,,,,0.000,55.556,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,25,[CUDA memcpy Host-to-Device]
9602973243,1024,5122,,,,,,,,,,0.024,23093.738,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,25,[CUDA memcpy Host-to-Device]
9608881612,448,5465,,,,,,,,,,0.001,2714.285,Device,,NVIDIA RTX PRO 4500 Blackwell (2),1,,27,[CUDA memset]
9609211469,384,5476,,,,,,,,,,0.000,104.167,Device,,NVIDIA RTX PRO 4500 Blackwell (2),1,,27,[CUDA memset]
9609220173,224,5479,,,,,,,,,,0.000,35.714,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,27,[CUDA memcpy Host-to-Device]
9609225037,256,5482,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,27,[CUDA memcpy Host-to-Device]
9609498766,384,5493,,,,,,,,,,0.000,20.833,Device,,NVIDIA RTX PRO 4500 Blackwell (2),1,,27,[CUDA memset]
9609800526,384,5506,,,,,,,,,,0.001,3166.666,Device,,NVIDIA RTX PRO 4500 Blackwell (2),1,,27,[CUDA memset]
9610095311,352,5517,,,,,,,,,,0.000,113.636,Device,,NVIDIA RTX PRO 4500 Blackwell (2),1,,27,[CUDA memset]
9610102287,256,5520,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,27,[CUDA memcpy Host-to-Device]
9610105743,256,5523,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,27,[CUDA memcpy Host-to-Device]
9610440880,384,5534,,,,,,,,,,0.000,20.833,Device,,NVIDIA RTX PRO 4500 Blackwell (2),1,,27,[CUDA memset]
9610747249,960,5547,,,,,,,,,,0.024,24633.318,Device,,NVIDIA RTX PRO 4500 Blackwell (2),1,,27,[CUDA memset]
9611014322,384,5558,,,,,,,,,,0.000,20.833,Device,,NVIDIA RTX PRO 4500 Blackwell (2),1,,27,[CUDA memset]
9611020882,256,5561,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,27,[CUDA memcpy Host-to-Device]
9611103890,256,5573,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,27,[CUDA memcpy Host-to-Device]
9611107858,224,5576,,,,,,,,,,0.000,35.714,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,27,[CUDA memcpy Host-to-Device]
9611115954,1056,5579,,,,,,,,,,0.024,22393.923,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,27,[CUDA memcpy Host-to-Device]
9620686126,448,5933,,,,,,,,,,0.001,2714.285,Device,,NVIDIA RTX PRO 4500 Blackwell (2),1,,29,[CUDA memset]
9620927823,384,5944,,,,,,,,,,0.000,104.167,Device,,NVIDIA RTX PRO 4500 Blackwell (2),1,,29,[CUDA memset]
9620936399,256,5947,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,29,[CUDA memcpy Host-to-Device]
9620940815,256,5950,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,29,[CUDA memcpy Host-to-Device]
9621957138,384,5961,,,,,,,,,,0.000,20.833,Device,,NVIDIA RTX PRO 4500 Blackwell (2),1,,29,[CUDA memset]
9622263410,416,5974,,,,,,,,,,0.001,2923.077,Device,,NVIDIA RTX PRO 4500 Blackwell (2),1,,29,[CUDA memset]
9622681300,384,5985,,,,,,,,,,0.000,104.167,Device,,NVIDIA RTX PRO 4500 Blackwell (2),1,,29,[CUDA memset]
9622688436,256,5988,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,29,[CUDA memcpy Host-to-Device]
9622692628,256,5991,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,29,[CUDA memcpy Host-to-Device]
9623035829,384,6002,,,,,,,,,,0.000,20.833,Device,,NVIDIA RTX PRO 4500 Blackwell (2),1,,29,[CUDA memset]
9623342934,800,6015,,,,,,,,,,0.024,29560.000,Device,,NVIDIA RTX PRO 4500 Blackwell (2),1,,29,[CUDA memset]
9623477654,576,6026,,,,,,,,,,0.000,13.889,Device,,NVIDIA RTX PRO 4500 Blackwell (2),1,,29,[CUDA memset]
9623484662,224,6029,,,,,,,,,,0.000,35.714,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,29,[CUDA memcpy Host-to-Device]
9625309979,416,6041,,,,,,,,,,0.000,19.231,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,29,[CUDA memcpy Host-to-Device]
9625314331,288,6044,,,,,,,,,,0.000,27.778,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,29,[CUDA memcpy Host-to-Device]
9625321691,1024,6047,,,,,,,,,,0.024,23093.738,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,29,[CUDA memcpy Host-to-Device]
9626105982,11776,6054,,,,,,,,,,5.947,505040.634,Device,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,16,[CUDA memcpy Device-to-Device]
9657594553,288,6140,,,,,,,,,,0.000,527.778,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,30,[CUDA memcpy Host-to-Device]
9661934085,288,6148,,,,,,,,,,0.000,527.778,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,30,[CUDA memcpy Host-to-Device]
9668327000,672,6155,,,,,,,,,,0.000,226.190,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,30,[CUDA memcpy Host-to-Device]
9673637991,320,6161,,,,,,,,,,0.000,475.000,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,30,[CUDA memcpy Host-to-Device]
9683927141,320,6232,,,,,,,,,,0.000,475.000,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,28,[CUDA memcpy Host-to-Device]
9692170300,288,6239,,,,,,,,,,0.000,527.778,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,28,[CUDA memcpy Host-to-Device]
9698421390,288,6247,,,,,,,,,,0.000,527.778,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,28,[CUDA memcpy Host-to-Device]
9704607776,288,6253,,,,,,,,,,0.000,527.778,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (2),1,,28,[CUDA memcpy Host-to-Device]
9711443764,326177,6263,2,1,1,544,1,1,96,0.037,0.062,,,,,NVIDIA RTX PRO 4500 Blackwell (2),1,,16,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
9711772501,400705,6272,2,1,1,544,1,1,96,0.037,0.062,,,,,NVIDIA RTX PRO 4500 Blackwell (2),1,,16,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
9791718428,640,6373,,,,,,,,,,0.001,1150.000,Device,,NVIDIA RTX PRO 4500 Blackwell (2),1,,16,[CUDA memset]
9791737564,115552,6374,184,1,2,128,1,1,128,0.000,0.031,,,,,NVIDIA RTX PRO 4500 Blackwell (2),1,,16,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params)
