Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Source,Name
92.8,5934751348,2,2967375674.0,2967375674.0,284614128,5650137220,3793997763.0,p2p,MPI_Recv
5.8,370721388,1,370721388.0,370721388.0,370721388,370721388,0.0,other,MPI_Init
0.7,46462094,1,46462094.0,46462094.0,46462094,46462094,0.0,other,MPI_Finalize
0.6,40747939,1,40747939.0,40747939.0,40747939,40747939,0.0,p2p,MPI_Send
0.0,165639,2,82819.5,82819.5,1310,164329,115271.8,collectives,MPI_Bcast
0.0,22380,1,22380.0,22380.0,22380,22380,0.0,collectives,MPI_Barrier
