Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Source,Name
91.8,5974211402,2,2987105701.0,2987105701.0,229219570,5744991832,3900239969.9,p2p,MPI_Recv
6.3,410031447,1,410031447.0,410031447.0,410031447,410031447,0.0,other,MPI_Init
1.2,75327476,1,75327476.0,75327476.0,75327476,75327476,0.0,p2p,MPI_Send
0.7,46179156,1,46179156.0,46179156.0,46179156,46179156,0.0,other,MPI_Finalize
0.0,164899,2,82449.5,82449.5,2960,161939,112415.1,collectives,MPI_Bcast
0.0,151019,1,151019.0,151019.0,151019,151019,0.0,collectives,MPI_Barrier
