Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
3056838021,640,1554,,,,,,,,,,0.001,1900.000,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memset]
3057009797,352,1565,,,,,,,,,,0.000,113.636,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memset]
3057021957,256,1568,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memcpy Host-to-Device]
3057026757,256,1571,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memcpy Host-to-Device]
3057301255,384,1582,,,,,,,,,,0.000,20.833,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memset]
3057516712,384,1595,,,,,,,,,,0.001,3166.666,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memset]
3057671849,352,1606,,,,,,,,,,0.000,113.636,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memset]
3057678569,256,1609,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memcpy Host-to-Device]
3057681801,224,1612,,,,,,,,,,0.000,35.714,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memcpy Host-to-Device]
3057893162,352,1623,,,,,,,,,,0.000,22.727,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memset]
3058131627,768,1636,,,,,,,,,,0.024,30791.659,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memset]
3058316844,384,1647,,,,,,,,,,0.000,20.833,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memset]
3058322092,224,1650,,,,,,,,,,0.000,35.714,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memcpy Host-to-Device]
3058544973,224,1665,,,,,,,,,,0.000,35.714,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memcpy Host-to-Device]
3058548781,256,1668,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memcpy Host-to-Device]
3058555981,992,1671,,,,,,,,,,0.024,23838.697,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memcpy Host-to-Device]
3066534709,480,1835,,,,,,,,,,0.001,2533.333,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,19,[CUDA memset]
3067428281,384,1846,,,,,,,,,,0.000,104.167,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,19,[CUDA memset]
3067436441,256,1849,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,19,[CUDA memcpy Host-to-Device]
3067440441,256,1852,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,19,[CUDA memcpy Host-to-Device]
3067714139,352,1863,,,,,,,,,,0.000,22.727,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,19,[CUDA memset]
3068099996,416,1876,,,,,,,,,,0.001,2923.077,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,19,[CUDA memset]
3068407390,544,1887,,,,,,,,,,0.000,73.529,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,19,[CUDA memset]
3068414686,224,1890,,,,,,,,,,0.000,35.714,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,19,[CUDA memcpy Host-to-Device]
3068417886,256,1893,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,19,[CUDA memcpy Host-to-Device]
3068577663,352,1904,,,,,,,,,,0.000,22.727,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,19,[CUDA memset]
3068764480,928,1917,,,,,,,,,,0.024,25482.754,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,19,[CUDA memset]
3068900352,384,1928,,,,,,,,,,0.000,20.833,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,19,[CUDA memset]
3068907008,256,1931,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,19,[CUDA memcpy Host-to-Device]
3070690793,448,1946,,,,,,,,,,0.000,17.857,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,19,[CUDA memcpy Host-to-Device]
3070695017,416,1949,,,,,,,,,,0.000,19.231,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,19,[CUDA memcpy Host-to-Device]
3070702473,1056,1952,,,,,,,,,,0.024,22393.923,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,19,[CUDA memcpy Host-to-Device]
9118579502,1061382,1959,,,,,,,,,,16.777,15804.137,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,7,[CUDA memcpy Host-to-Device]
