Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
47.5,398931805,2,199465902.5,199465902.5,11886177,387045628,265277791.8,PushPop,NCCL:ncclCommInitRank
38.6,324211334,2,162105667.0,162105667.0,45616129,278595205,164741084.5,PushPop,NCCL:ncclCommDestroy
14.0,117246568,5,23449313.6,31360.0,29949,117097689,52351034.6,PushPop,NCCL:ncclGroupEnd
0.0,32060,10,3206.0,1990.0,1020,9700,3210.2,PushPop,NCCL:ncclBroadcast
0.0,20370,5,4074.0,1010.0,450,16870,7167.2,PushPop,NCCL:ncclGroupStart
