Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
62.2,398903755,2,199451877.5,199451877.5,13121709,385782046,263510651.4,PushPop,NCCL:ncclCommInitRank
27.0,173060955,2,86530477.5,86530477.5,32804158,140256797,75980489.7,PushPop,NCCL:ncclCommDestroy
10.8,69509803,5,13901960.6,33270.0,29760,69352313,30997692.6,PushPop,NCCL:ncclGroupEnd
0.0,31730,10,3173.0,1890.0,920,10870,3283.9,PushPop,NCCL:ncclBroadcast
0.0,18110,5,3622.0,470.0,390,15560,6683.9,PushPop,NCCL:ncclGroupStart
