Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Source,Name
91.2,706800499,1,706800499.0,706800499.0,706800499,706800499,0.0,other,MPI_Init
6.5,50097621,1,50097621.0,50097621.0,50097621,50097621,0.0,other,MPI_Finalize
1.9,14539901,6,2423316.8,2396645.5,1186602,4138054,1170987.7,p2p,MPI_Send
0.4,3029210,3,1009736.7,1009593.0,981274,1038343,28534.8,p2p,MPI_Recv
0.0,188969,1,188969.0,188969.0,188969,188969,0.0,collectives,MPI_Barrier
0.0,3670,2,1835.0,1835.0,780,2890,1492.0,collectives,MPI_Bcast
