Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
43.6,399104473,2,199552236.5,199552236.5,13300978,385803495,263399055.8,PushPop,NCCL:ncclCommInitRank
39.0,357278452,2,178639226.0,178639226.0,33108707,324169745,205811233.7,PushPop,NCCL:ncclCommDestroy
17.4,159179321,5,31835864.2,33360.0,30550,159025871,71101376.2,PushPop,NCCL:ncclGroupEnd
0.0,32750,10,3275.0,1995.0,910,10420,3370.9,PushPop,NCCL:ncclBroadcast
0.0,17430,5,3486.0,480.0,410,15020,6453.9,PushPop,NCCL:ncclGroupStart
