Total (MB),Count,Avg (MB),Med (MB),Min (MB),Max (MB),StdDev (MB),Operation
33.603,26,1.292,0.000,0.000,25.166,5.139,[CUDA memcpy Host-to-Device]
33.554,5,6.711,8.389,4.194,8.389,2.297,[CUDA memcpy Device-to-Device]
8.442,22,0.384,0.000,0.000,8.389,1.788,[CUDA memset]
8.389,1,8.389,8.389,8.389,8.389,0.000,[CUDA memcpy Device-to-Host]
