Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Source,Name
93.2,6022352521,2,3011176260.5,3011176260.5,209253162,5813099359,3962517646.6,p2p,MPI_Recv
4.3,278476846,1,278476846.0,278476846.0,278476846,278476846,0.0,other,MPI_Init
1.6,100736670,1,100736670.0,100736670.0,100736670,100736670,0.0,p2p,MPI_Send
0.9,55754647,1,55754647.0,55754647.0,55754647,55754647,0.0,other,MPI_Finalize
0.0,1033093,2,516546.5,516546.5,162649,870444,500486.6,collectives,MPI_Bcast
0.0,950504,1,950504.0,950504.0,950504,950504,0.0,collectives,MPI_Barrier
