Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
52.4,399101594,2,199550797.0,199550797.0,12068256,387033338,265140352.2,PushPop,NCCL:ncclCommInitRank
38.0,289164030,2,144582015.0,144582015.0,42051591,247112439,144999916.2,PushPop,NCCL:ncclCommDestroy
9.6,73337667,5,14667533.4,32429.0,28459,73190829,32715518.7,PushPop,NCCL:ncclGroupEnd
0.0,33890,10,3389.0,2225.0,1040,10620,3214.3,PushPop,NCCL:ncclBroadcast
0.0,19910,5,3982.0,1050.0,560,16060,6760.4,PushPop,NCCL:ncclGroupStart
