Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
4659323451,640,1535,,,,,,,,,,0.001,1900.000,Device,,NVIDIA RTX PRO 4500 Blackwell (0),1,,17,[CUDA memset]
4659490236,384,1546,,,,,,,,,,0.000,104.167,Device,,NVIDIA RTX PRO 4500 Blackwell (0),1,,17,[CUDA memset]
4659503132,224,1549,,,,,,,,,,0.000,35.714,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (0),1,,17,[CUDA memcpy Host-to-Device]
4659507996,224,1552,,,,,,,,,,0.000,35.714,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (0),1,,17,[CUDA memcpy Host-to-Device]
4659721949,352,1563,,,,,,,,,,0.000,22.727,Device,,NVIDIA RTX PRO 4500 Blackwell (0),1,,17,[CUDA memset]
4659961471,416,1576,,,,,,,,,,0.001,2923.077,Device,,NVIDIA RTX PRO 4500 Blackwell (0),1,,17,[CUDA memset]
4660122304,352,1587,,,,,,,,,,0.000,113.636,Device,,NVIDIA RTX PRO 4500 Blackwell (0),1,,17,[CUDA memset]
4660129312,224,1590,,,,,,,,,,0.000,35.714,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (0),1,,17,[CUDA memcpy Host-to-Device]
4660132800,256,1593,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (0),1,,17,[CUDA memcpy Host-to-Device]
4660311169,352,1604,,,,,,,,,,0.000,22.727,Device,,NVIDIA RTX PRO 4500 Blackwell (0),1,,17,[CUDA memset]
4660651428,800,1617,,,,,,,,,,0.024,29560.000,Device,,NVIDIA RTX PRO 4500 Blackwell (0),1,,17,[CUDA memset]
4660962662,384,1628,,,,,,,,,,0.000,20.833,Device,,NVIDIA RTX PRO 4500 Blackwell (0),1,,17,[CUDA memset]
4660969254,256,1631,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (0),1,,17,[CUDA memcpy Host-to-Device]
